Time,Type
10.22314815,2
10.22314815,2
10.28946759,1
10.28946759,1
10.28946759,1
10.28946759,4
10.2912037,3
10.39642361,1
10.57922454,1
10.63998843,2
10.63998843,2
10.63998843,2
10.63998843,2
10.72471065,1
10.7271412,2
10.72800926,2
10.72800926,2
10.7287037,2
10.72887731,2
10.72951389,2
10.7302662,2
10.73032407,2
10.73946759,2
10.73958333,2
10.73969907,2
10.73975694,2
10.73981481,2
10.73981481,2
10.75625,1
10.75804398,2
10.77899306,1
10.77913194,3
10.78274306,3
10.79704861,2
10.79902778,2
10.79913194,2
10.79936343,5
10.80179398,1
10.89141204,3
10.89172454,3
10.89207176,1
10.89340278,3
10.90659722,3
10.90895833,1
10.91681713,1
10.91769676,1
10.92528935,1
10.9302662,2
10.9302662,2
10.9302662,2
10.9302662,2
10.9302662,2
10.9302662,2
10.9302662,2
10.9302662,2
10.93269676,1
10.94675926,2
10.94681713,2
10.94693287,2
10.94693287,2
10.94699074,2
10.94704861,2
10.94704861,2
10.94710648,2
10.96313657,3
11.03431713,1
11.03431713,1
11.03431713,1
11.03431713,1
11.03431713,1
11.03431713,1
11.03431713,1
11.03431713,1
11.0390625,1
11.04145833,1
11.06701389,1
11.07048611,3
11.13414352,3
11.13414352,3
11.13414352,2
11.13414352,2
11.13414352,3
11.13414352,2
11.13414352,2
11.13414352,3
11.14618056,2
11.14618056,2
11.17523148,2
11.18138889,1
11.18185185,1
11.19759259,3
11.20954861,2
11.21197917,1
11.21353009,1
11.2396412,2
11.24490741,3
11.24621528,2
11.24623843,2
11.24630787,2
11.24633102,2
11.24637731,2
11.24640046,2
11.24641204,2
11.24641204,2
11.25630787,2
11.25630787,2
11.25630787,2
11.25630787,2
11.25630787,2
11.25630787,2
11.25630787,2
11.25700231,3
11.29313657,2
11.30048611,3
11.31383102,3
11.35769676,2
11.35770833,2
11.35770833,2
11.35771991,2
11.35775463,2
11.36226852,1
11.39652778,1
11.41440972,1
11.41440972,2
